454 1196       
30215 30214 25.56229713962723      
74058 74059 31.636124854437334      
74080 74077 34.86420666051917      
88561 69938 9.840935277657723  South Mulberry Street  
25971 1704 50.684593107215655  Thresher Street   
12807 92631 16.10995785815989  North Main Street  
76798 76797 3.6188205719159545      
88575 67454 228.7120687353183      
56014 78313 46.90373047038931      
96665 54170 6.093722147      
62491 70837 312.90643438608464      
74846 67537 6.170929107020416      
206 205 28.463674902795848      
56020 56017 20.16518874665729      
77560 25971 31.784904242812388  Thresher Street   
15388 15385 28.204432166135255      
47557 65996 3.6353162433687496      
27124 27125 12.125158159843382      
68184 64456 90.94922365100489  Linden Place   
30231 30222 3.720489097345632  Herrick Hall   
68215 68223 18.930348914269867      
62521 52913 177.3783070736968      
62337 48039 79.68309859665678  Sunset Hill Road  
70037 19664 205.76346735539582      
92631 64455 54.58273162880294  North Main Street  
69593 40184 87.51920555756195  East Loop   
40192 40185 33.10797081323403      
35412 47917 41.14598705      
67520 58160 39.12371197985787  East Broadway   
36998 69937 67.60868591725317      
40221 9954 97.56730053  East Loop   
12572 91439 8.34724128  East Broadway   
63083 73711 207.14759950107208  North Pearl Street/East Broadway 
17650 17884 91.01504964  North Street   
79134 30918 2288.744495853345  Burg Street   
52908 62520 30.11766822316186      
96667 29666 65.14037101862417  Cherry Street   
52908 62520 150.28284606584782      
30224 30221 3.745631888863761      
54171 54168 80.97669906717506      
96667 67533 6.159973384648736      
67430 29668 8.717022064441853      
30231 30230 3.742996913983358      
67543 67544 32.55551380169378      
66297 21204 6.373915519222285  West Loop Road  
17650 17647 11.534888861962905      
27124 26013 17.885107315487218      
81120 81122 54.82447168284484      
37553 89577 25.75643802896994      
73726 88565 10.113156450347311  Cherry Street   
52913 62521 177.37830707369682      
73704 73711 286.89899174802025      
30215 33165 50.26528696599087      
19719 37552 96.30662547858142      
41109 41108 13.511921268777582      
67438 67436 7.931259280734456      
55353 26009 94.53442412999608  North Loop Road  
66303 66299 86.41471503783846  President's Drive   
9953 179 83.01140475333537      
88884 88882 111.49569276544526  North Pearl Street  
35954 36162 132.6902579685143  Ebaugh Drive   
204 188 53.915506140009896      
67415 96669 4.376176990177347      
64455 67519 11.522337377987972      
30232 30233 3.9380542780721393  Herrick Hall   
21424 21410 42.06622115829455      
67419 19708 11.055572862955856  North Plum Street  
40282 40220 47.96730325161149      
15355 15361 67.43228532456297      
56017 56014 23.502258254823147      
56080 72630 27.82604124183475      
28167 62483 177.55154911495816      
74070 74077 52.87881326985908      
63083 63084 17.25886430367953      
30233 30232 3.9380542780721393      
30237 30238 3.957238106742247  Herrick Hall   
30220 30221 3.7106655819395558  Herrick Hall   
56020 56023 88.08573194306297      
63084 73488 85.56426636305983      
41827 41831 108.09293682160042  Seeley G Mudd Learning Center
35412 21204 100.21133506764345  West Loop Road  
91441 12572 8.305758516  East Broadway   
92594 33165 21.50492071628994  Reese-Shackelford Commons   
6259 88890 106.19151150509609      
51754 88884 55.386937841861645  North Pearl Street  
36000 35969 702.9765128275188      
96670 5766 85.14607408390579      
44838 44845 47.602856572594604      
9946 179 115.50623735835967      
11707 11704 14.172742291948534      
73712 12576 4.244737375904831  North Prospect Street  
70033 19139 661.6551766325482      
58606 81123 86.12798395657768  Ebaugh Drive   
88884 23859 54.775472365529204  Cedar Lane   
91441 91440 17.329631629028835      
89585 89586 27.81453017821077      
89584 89587 20.089962444901083      
15384 15381 35.55586487245182      
68184 92631 12.737235078086899  Linden Place   
35412 21214 42.64686575613177  West Loop Road  
77560 67431 140.18809805884126  Thresher Street   
75790 75788 48.55357861599459      
35994 36000 82.59163005557058      
73711 73712 143.19674819268937      
172 62949 24.013854612145824      
54023 88890 152.76334227915817  North Pearl Street  
52914 70033 130.21109257387647      
79378 70037 310.2447273996251      
94372 21410 61.00670414875962  Sheppard Place   
15384 15385 50.612664023980386      
74077 74076 26.312947675109072      
11693 40254 15.103123411328417      
26013 27124 17.885107315487218      
62949 89581 29.22068636975693      
20124 38310 139.0242261121606  West College Street  
62486 62485 79.78152173583236      
90598 55341 6.216292787381205      
19718 25971 177.3366895516586  West College Street  
21222 89577 122.6703004502215      
64457 73489 37.10129967260674  North Prospect Street  
21424 21424 82.59538768040062      
62269 70838 61.72186861359014      
78319 54023 48.83741896187236      
88560 67504 9.851170003079346      
26008 45113 107.50885817162677      
206 204 69.17965405259834      
51736 12576 143.28363062354424  East College Street  
30214 174 26.48957507999824      
187 16709 12.468417077665219  Chapel Drive   
67431 67436 86.09442269882359      
48039 62337 79.68309859665678  Sunset Hill Road  
82604 29666 223.78741235408634  Cherry Street   
175 30213 17.983511149361732      
67432 98653 30.38288463465824      
92592 30218 29.26314477797212      
76799 76798 29.134419244809088      
76800 76793 63.40136937079501  Washington Drive   
9946 409938 82.07287323946122  Chapel Drive   
89587 89585 21.948680517705498      
67537 67536 6.094576239867347      
30237 30238 3.957238106742247      
30222 30223 3.985559030167965  Herrick Hall   
67508 67521 146.54876791510767      
40207 40221 6.907135132516893      
52914 52913 35.21765521058638      
184 187 20.80100027575197  Chapel Drive   
74058 48549 80.22377447117985  North Pearl Street  
81120 58606 24.509244540559074      
30229 30228 3.7853652742173685      
178 30213 39.60864864947032      
67508 62947 8.021492595      
40251 40254 46.45472980124347      
62488 62487 44.90495914416415      
9470 11686 13.876556289978868      
45102 89586 17.009589388829237      
204 205 71.02865855309213      
70837 62491 312.90643438608464      
29666 29663 108.25201526753392      
96666 54170 8.308418999      
67414 67419 7.550736894830932      
15362 15363 23.567810146442806      
41827 41828 3.566762732976779  Seeley G Mudd Learning Center
69740 8777 21.593272752392632  Washington Drive   
176 178 4.835047796520487      
40206 40282 3.499928323241601      
78321 78319 11.742028466840821      
29663 96667 49.33961413461746      
75787 88559 19.758626198599206  West Broadway   
73726 88566 69.88288247872492  West Broadway   
21204 35412 100.21133506764345  West Loop Road  
67520 58162 10.962445810197277  East Broadway   
54175 67536 5.845960082396475      
89585 92589 29.903833066209724      
70838 62269 61.72186861359014      
96669 67412 5.823162362862148      
67449 67438 228.4579989041008      
41108 26002 33.71642802035702  Ebaugh Drive   
92590 30219 4.318988480549309      
1704 1711 47.554994339226916      
40240 40269 6.647718952774981      
65990 65994 19.297046045338877      
54168 54171 80.97669906717506      
44517 44530 186.59809999476607  Smith Hall   
62517 52908 48.78416442676721      
89577 21214 6.011876247784634      
73734 89565 32.289424563094606      
89587 30218 21.79325369393849      
21018 15399 49.44646404698935      
99101 53604 277.12686565379926      
74059 74058 31.636124854437334      
96667 29663 49.33961413461746      
36014 51754 9.352892842  Washington Drive   
85248 85241 23.11992341750971      
27124 16709 30.736076867596616  Chapel Drive   
15404 15395 20.590571719494932      
21214 44137 45.45362648413191  West Loop Road  
26038 66303 73.26963688787457  Ridge Road   
62269 28167 502.1232588      
30223 30222 3.985559030167965  Herrick Hall   
51749 76793 57.38547717  Washington Drive   
56017 56020 20.16518874665729      
30213 179 201.29297160923971      
81121 81122 40.37391091299081      
37553 89581 37.45024391301893      
67509 88560 12.016567788033058      
93053 73726 5.973250088637746  West Broadway   
40169 40192 17.965677709520133  Bancroft Drive   
75788 75787 11.90547923      
69938 88561 9.840935277657723  South Mulberry Street  
89581 35412 38.19556977718703      
189 184 26.403588876763813      
58606 81120 24.509244540559074      
17884 28150 14.762689482021381  New Burg Street  
62490 62489 56.15396834282444      
52908 62517 48.78416442676721      
44544 44542 137.7861132138379      
16877 99101 200.75966827746743  Ebaugh Drive   
184 27122 28.399130966260582  Chapel Drive   
68183 64456 38.24919529      
74851 91439 19.45872239964004      
66299 66303 86.41471503783846  President's Drive   
26009 90598 7.0175695381131025  North Loop Road  
67414 88568 7.646761682212006      
35994 36014 443.12336674548465      
62520 52908 150.28284606584782      
28150 35994 7.100142011895799      
62269 62491 3680.3369749675867      
12809 69938 7.9612403930363085  West Broadway   
15355 40184 11.632292885687704  East Loop   
73734 67538 90.04949143  West College Street  
30221 30220 3.7106655819395558      
8777 19863 55.24699969194711  Washington Drive   
35954 48032 51.315308241059235  Ebaugh Drive   
45113 45111 23.09791524914231      
12809 67507 9.818165525785181      
30918 94372 63.753729306715606  Sheppard Place   
30218 30216 36.37308148871269      
12587 15342 209.38931822442038  North Prospect Street  
